attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
401974227,"United States","Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2001-09-11,40,0
1396626045,"United States","Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2001-09-11,184,106
-2046550065,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-09-15,11,43
-1968381838,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2001-09-17,1,0
2079585309,India,"Kashmiri Rebels vs. India","Confirmed Suicide",2001-10-01,45,75
-1777336017,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-10-07,1,0
-568437701,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-10-29,3,0
-284682761,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-10-30,4,0
729701926,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-11-09,0,3
-904870836,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-11-15,4,9
1225219524,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-11-26,0,2
-1053652066,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2001-11-29,3,0
501748240,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-11-29,3,8
676528924,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-12-01,11,170
448619721,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-12-02,12,40
-862995611,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-12-05,0,10
906859457,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-12-09,0,10
524323293,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-12-12,0,4
-1960469306,India,"Kashmiri Rebels vs. India","Confirmed Suicide",2001-12-13,12,0
-933892263,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-12-15,0,0
1336875910,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-01-25,0,24
1389576178,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-01-27,1,150
